lab_id,mark,initial_cage,cage,group1,group2,birth,Start Diet,"Implantatio
FGF21 pumps","Start 
Breeding",d0,d1,d3,d5,d7,d10,drel0,drel1,drel3,drel5,drel7,drel10
1,Right Post,ETOS-001015,ETOS-001065,1,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,32.3,32,29.6,28.8,27.8,29.1,1,0.991,0.916,0.892,0.861,0.901
2,Left Post,ETOS-001015,ETOS-001065,1,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,38.7,38.2,36.22,34.2,32.7,34.8,1,0.987,0.936,0.884,0.845,0.899
4,Left Middle,ETOS-001015,ETOS-001066,2,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,28.3,28.8,26.5,26,25,25.7,1,1.018,0.936,0.919,0.883,0.908
5,Right Middle,ETOS-001015,ETOS-001067,3,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,33.1,32.2,30.3,29.2,27.5,28.4,1,0.973,0.915,0.882,0.831,0.858
6,Left Ant,ETOS-001015,ETOS-001067,3,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,31.6,30.9,28.4,28.1,27.7,28.3,1,0.978,0.899,0.889,0.877,0.896
7,Left Post,ETOS-001016,ETOS-001068,4,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,36.7,37.2,34.2,32.6,30.9,31.7,1,1.014,0.932,0.888,0.842,0.864
8,Left Middle,ETOS-001016,ETOS-001068,4,FGF21,20.01.2021,24.02.2021,11.06.2021,21.06.21,34.7,35,32.1,30.2,29.2,31.3,1,1.009,0.925,0.87,0.841,0.902
9,Right Middle,ETOS-001016,ETOS-001069,5,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,22.9,22.5,22.7,22.3,22.8,23.1,1,0.983,0.991,0.974,0.996,1.009
10,Right Ant,ETOS-001016,ETOS-001069,5,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,28.8,28.5,29.1,29.2,29.9,29.9,1,0.99,1.01,1.014,1.038,1.038
11,Left Ant,ETOS-001016,ETOS-001069,5,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,31.5,33.2,33.2,34,35.2,36.8,1,1.054,1.054,1.079,1.117,1.168
12,Right Middle,ETOS-001017,ETOS-001070,6,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,31.9,32.5,33.2,33.1,33.6,34.7,1,1.019,1.041,1.038,1.053,1.088
13,Left Post,ETOS-001017,ETOS-001070,6,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,38,38.6,39.1,39.5,38.3,39.7,1,1.016,1.029,1.039,1.008,1.045
14,Right Post,ETOS-001017,ETOS-001071,7,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,26.6,28,29.1,29.6,30.9,32.5,1,1.053,1.094,1.113,1.162,1.222
15,Right Ant,ETOS-001017,ETOS-001071,7,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,29.9,29.8,30.2,29.4,28.4,29.4,1,0.997,1.01,0.983,0.95,0.983
16,Left Middle,ETOS-001017,ETOS-001072,8,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,26.2,25.3,26.1,26.5,25.7,27.2,1,0.966,0.996,1.011,0.981,1.038
17,Left Ant,ETOS-001017,ETOS-001072,8,HFD,20.01.2021,24.02.2021,11.06.2021,21.06.21,30.8,31,29.6,28.6,28,29.2,1,1.006,0.961,0.929,0.909,0.948
18,Right Post,ETOS-001018,ETOS-001073,9,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,21.5,21.1,21.3,20.8,21.8,20.8,1,0.981,0.991,0.967,1.014,0.967
19,Right Ant,ETOS-001018,ETOS-001073,9,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,24.8,25.1,24.9,24.9,25.6,24.8,1,1.012,1.004,1.004,1.032,1
20,Right Middle,ETOS-001018,ETOS-001074,10,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,21.9,21.7,21.3,22,22.6,22.8,1,0.991,0.973,1.005,1.032,1.041
21,Left Post,ETOS-001018,ETOS-001074,10,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,22.5,23.3,23.3,23.7,24.1,24.8,1,1.036,1.036,1.053,1.071,1.102
22,Left Middle,ETOS-001018,ETOS-001075,11,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,22,21.8,22.1,22.1,23.8,23,1,0.991,1.005,1.005,1.082,1.045
23,L Ant + R Ant,ETOS-001018,ETOS-001075,11,ND,20.01.2021,24.02.2021,11.06.2021,21.06.21,22.7,22.5,22.3,23.2,24.9,24.3,1,0.991,0.982,1.022,1.097,1.07
